Name,id,age,balance,grade
Brandais Monier,115,48,1827.01,3.04
Prince Klaffs,116,46,8698.72,2.53
Egon Golden of Ireland,117,27,574.28,1.65
Shaylynn Ivankin,118,76,8123.92,1.3
Henry Knagges,119,86,9036.23,1.65
Daryle Leidl,120,65,5592.09,2.78
Karola Berridge,121,21,82.72,0.01
Shanda Vasilik,122,26,3200.93,1.49
Victoir Andren,123,96,6111.75,0.6
Barbaraanne Masding,124,52,1916.99,2.18
Carolee Keaysell,125,20,9545.2,3.17
Sasha Bagnell,126,70,4927.59,1.18
Illa Wescott,127,59,2991.5,1.49
Zerk Jeffryes,128,56,4177.71,0.18
Adriaens Bruna,129,98,3792.81,3.44
Branden Chidler,130,48,160.72,1.64
Meryl Abramov,131,55,5889.81,0.03
Tarrance Abrashkov,132,10,4428.69,1.56
Claudina Cumpton,133,68,6348.24,1.59
Kip Bradshaw,134,57,7446.02,3.42
Bathsheba MacAless,135,63,5514.71,3.48
Bastian Ghiotto,136,47,5287.48,1.9
Lynsey Nice,137,18,9106.77,3.58
Aurora Kelf,138,67,6034.98,3.12
Genvieve Ovitts,139,68,6642.19,1.06
Tabina Alston,140,86,5812.42,0.8
Victor Bacup,141,9,359.92,3.39
Lela Ditch,142,35,9957.32,1.36
Murry Viccars,143,29,5406.55,3.73
Lillis Orable,144,2,7202.78,3.96
Odie O'Finan,145,97,6275.1,3.87
Terence Wike,146,84,8940.35,0.25
Michelina Chasier,147,38,3493.61,0.9
Avram Astell,148,69,2029.69,2.51
Ali Seivertsen,149,72,9188.83,1.76
Maggy Shattock,150,30,5913.29,0.59
Agnes Vasenkov,151,95,6025.82,1.4
Norman Weatherburn,152,4,2564.1,1.18
Jorie Meller,153,2,2716.28,1.93
Hilliard Spickett,154,44,6868.82,3.04
Dori Sobey,155,4,9654.67,1.62
Pearce Bendig,156,92,2308.67,0.93
Caril Fallanche,157,85,5074.85,0.5
Leora Flaunier,158,53,4840.73,2.44
Pernell Glawsop,159,63,7986.5,3.25
Roseann Fawthrop,160,81,1805.02,3.97
Frederique Caulkett,161,64,7235.69,2.98
Vinita Fewings,162,37,9573.8,0.72
Marcela Tournay,163,93,2501.52,1.63
Cayla Skillings,164,75,3040.15,0.17
Abram Hazelby,165,59,9729.47,1.96
Tamqrah Yole,166,66,7895.67,3.39
Andree McDuffy,167,30,1114.56,1.8
Pascale MacAfee,168,72,6362.76,0.8
Ibby Stainland,169,31,6731.33,2.77
Minny McBeith,170,46,4333.95,0.73
Riley Phillins,171,81,8222.04,0.39
Karl Dimitrijevic,172,35,9722.64,3.64
Gamaliel Sedgefield,173,55,4709.29,0.08
Hally Geffe,174,83,3480.73,1.57
Allister Rihanek,175,71,7139.45,3.74
Andres Sondland,176,67,2167.07,0.11
Herve Eburne,177,12,1236.62,2.32
Elladine McComiskie,178,22,9417.33,1.18
Adah Bidder,179,33,6444.98,3.84
Shandie Rowbottam,180,45,5262.48,0.81
Lewes Oventon,181,42,4441.93,0.34
Celestine Thursby,182,35,3515.31,2.49
Obediah Realy,183,66,6350.47,0.41
Isak Asbery,184,27,3276.87,2.39
Mozelle Keddy,185,94,4444.54,3.8
Nowell Cowap,186,27,5521.25,2.81
Mable Goble,187,83,7054.06,1.64
Heath Scardafield,188,82,3596.6,1.1
Hanny Mawne,189,36,1192.02,0.85
Elsbeth Rysom,190,65,6862.26,1.12
Alexandra Bulger,191,99,2830.96,3.72
Tate Connell,192,69,2312.35,2.81
Miguela Danhel,193,22,6339.98,2.25
Trumaine Jewitt,194,4,2957.73,0.44
Rickard Partener,195,74,1067.81,1.02
Maximilian Yateman,196,25,3130.89,2.96
Bernita Gerrets,197,71,9676.46,1.44
Kimball Fleay,198,81,5578.43,1.94
Bar Buddington,199,9,7898.21,3.6
Emmit Caughey,200,1,6600.56,0.35
Emery Gilardengo,201,42,6158.78,3.37
Penny Flewan,202,95,8887.35,2.62
Abrahan Enrdigo,203,57,1075.07,3.47
Bev Wilkerson,204,2,4605.34,1.08
Emalee Phare,205,94,8512.01,2.13
Husein Danielsson,206,47,7739.25,3.56
Brigitte Flye,207,64,5219.79,1.96
Irv Burnet,208,35,8751.26,2.2
Demetre Carr,209,77,9061.04,2.92
Emeline Salzburg,210,12,9872.71,3
Olin Baggot,211,66,5842.37,1.24
Lynea Mc Ilwrick,212,18,6591.97,3.35
Nissie Wawer,213,80,449.02,0.62
Cherish MacCrachen,214,67,3931.65,1.77
Pearce Dymocke,215,49,2078.84,0.71
Shirleen McNeigh,216,22,3841.95,1.77
Belinda Lean,217,94,2361.94,2.37
Jorgan Elgood,218,33,3075.18,2.4
Dominic Snow,219,6,4503.01,2.96
Kelby Garber,220,56,6035.91,3.69
Felicdad Betteriss,221,4,808.93,1.04
Brock Wardhough,222,94,5911.64,2.82
Augusta Goudge,223,88,3591.55,2.62
Halsy Lunny,224,41,6904.39,3.57
Marice Densie,225,36,1093.71,3.4
Noble Pett,226,86,6723.5,3.89
Perl Budden,227,50,8243.69,2.18
Erv Muldownie,228,53,8440.12,1.04
Trixi Orrock,229,67,7832.08,2.94
Thacher Stowe,230,51,6588.59,3.04
Franklin Domingues,231,26,6583.7,1.19
Sonnie Fillon,232,78,7157.72,2.9
Rachelle McElroy,233,91,8038.18,1.64
Jacinda Colwell,234,10,1102.22,2.08
Patsy Pirolini,235,83,7161.6,3.61
Karlotte Sudron,236,81,824.8,1.09
Sharon Luter,237,87,8588.74,2.82
Richmound Kynoch,238,29,2254.78,0.92
Ignatius Sadat,239,96,3430.28,3.99
Calv Garlinge,240,45,1977.34,1.99
Raviv Slemmonds,241,4,8623.83,1.77
Devan Fittall,242,99,3201.15,0.12
Dorian Cords,243,29,9155.24,2.25
Sasha D'Alesio,244,90,4397.18,1.66
Joelynn McCrow,245,55,4161.43,2.5
Kim Dangl,246,96,7129.75,3.15
Happy OIlier,247,52,3136.21,0.33
Ayn McCreagh,248,84,8018.9,1.56
Ole Agar,249,13,1951.82,0.67
De Tourle,250,56,7416.05,1.24
Romeo Grishukov,251,52,184.73,2.22
Desmond Greswell,252,81,2552.16,0.59
Margret Fryett,253,83,1115.22,3.17
Benny Cohr,254,96,828.7,1.03
Mickie Ovid,255,44,1311.57,2.09
Nellie Klasing,256,89,5323.64,1.48
Taddeo Killingsworth,257,44,6919.73,2.39
Sara Breeder,258,99,798.28,0.01
Fidela Couser,259,84,3929.31,1.92
Dian Cristoforetti,260,24,1073.67,3.57
Laird Beaton,261,35,62.84,3.25
Lulu Tregent,262,44,8188.29,0.24
Tadeas Hawkin,263,59,8294.34,3.59
Haywood Worsalls,264,95,1876.69,2.97
Priscilla Addicote,265,5,3004.72,0.53
Esra Buse,266,58,7284.26,1.41
Guinevere Einchcombe,267,35,8544.72,1.11
Alethea todor,268,24,4888.91,2.03
Jerome Manuello,269,94,3004.84,1.23
Vaughn MacRirie,270,16,8727.11,2.03
Kerwinn Askin,271,13,8048.96,2.26
Wally Niblock,272,38,8818.95,1.8
Justine Pawlowicz,273,98,9705.91,0.89
Carleen Muckle,274,36,1659.71,1.7
Laughton Seals,275,70,3783.63,3.7
Crosby Sisley,276,44,1922.69,3.83
Estrellita Winscom,277,50,6579.13,0.05
Man Joesbury,278,93,1425.97,0.03
Harald Korf,279,44,9964.15,3.04
Lanny Master,280,10,8907.44,3.91
Thebault Scoates,281,19,3650.09,0.75
Christyna Gallager,282,77,6250.76,1.71
Maisey Hodges,283,41,4473.7,1.3
Sherlocke Caldaro,284,74,5306.11,1.53
Florence Klehn,285,37,6888.44,3.75
Chickie Zanre,286,91,7799.54,2.68
Jackie Aluard,287,100,8635.07,2.04
Milt Manntschke,288,15,4210.66,0.03
Omar Feeham,289,25,5225.24,0.56
Lennard Awmack,290,70,853.36,1.36
Bertine Mawby,291,97,7266.03,2.48
Donia Dargan,292,15,845.06,2.11
Glenden Briscam,293,87,6207,2.51
Marlie Chaperling,294,41,9758.36,3.41
Sibella Rathbone,295,51,8700.29,2.29
Dew McCrorie,296,23,8908.1,1.62
Marie Kingsman,297,98,6976.27,2.39
Clement Vasyanin,298,66,5698.56,3.48
Gizela Westbury,299,70,8785.56,1.76
Roy Hargerie,300,85,247.86,0.93
Cynthia Cottier,301,12,6932.62,0.87
Brigitta Jupe,302,5,5861.49,2.54
Lexy Holdall,303,82,8189.17,1.02
Newton Mein,304,94,4128.47,1.4
Giraud Lippitt,305,13,8017.38,3.72
Ronny Berrecloth,306,24,9040.01,1.91
Willette Harriskine,307,3,8271.03,2.13
Vachel Pestricke,308,44,983.11,1.12
Trisha Coate,309,34,9705.88,0.86
Clementia Anthony,310,43,2199.22,0.73
Dorothee Mannakee,311,71,719.1,2.47
Durand Huffey,312,80,3278.37,0.35
Agna Gowler,313,61,2208.17,1.9
Yasmin Alexandrescu,314,34,6503.01,0.1
Corty O' Kelleher,315,73,4958.44,3.21
Jena Hedley,316,10,8347.07,2.94
Lionel Joyson,317,75,4719.09,0.43
Mela Bridden,318,28,4756.93,0.78
Burnaby Gibbin,319,11,2745.1,3.27
Giustina Rableau,320,48,5844.79,2.72
Elianora Luxon,321,49,9396.3,0.56
Gael Thumnel,322,16,7164.22,2.9
Deva Bottomore,323,9,8668.01,1.36
Stanly Legrice,324,6,6448.77,2.45
Hercule Turville,325,45,9304.86,1.64
Sher Lezemere,326,11,5580.16,3.85
Constantia Mattaus,327,18,146.47,2.53
Georgi Russel,328,77,9192.81,2.43
Jyoti Stening,329,29,821.99,0.31
Vanny Prendergrast,330,11,3728.67,2.62
Clerc Kitchenham,331,63,5392.96,0.97
Mariellen Olyfant,332,42,6596.24,2.96
Curry Windley,333,3,1470.79,0.54
Luelle Eim,334,78,5611.92,3.82
Morgan Dougal,335,62,7136.75,1.52
Way Dulson,336,20,8562.28,2.6
Clotilda Trebble,337,48,9411.96,3.47
Granthem Lage,338,15,6551.66,2.01
Elton Van der Baaren,339,10,8124.82,3.4
Aundrea Annett,340,86,8421.78,0.5
Gaby Smullin,341,74,2552.58,0.83
Winny Greeve,342,79,8045.72,2.34
Anna-diane Joist,343,91,7852.03,0.89
Krystal Staite,344,82,7474.09,3.93
Colleen Furlonge,345,75,2522.67,2.03
Arlana Yourell,346,61,9286.03,0.07
Arturo Laban,347,22,309.24,1.57
Robenia Meys,348,97,3202,1.77
Doria Beatey,349,81,9889.39,0.63
Hodge Turtle,350,92,5928.37,1.79
Sophey Boatright,351,26,639.46,2.2
Glory Tuckley,352,11,3230.05,1.07
Karole Whyman,353,24,6115.75,0.84
Ardeen Husbands,354,46,7311.21,1.97
Gil Broszkiewicz,355,43,4718.27,1.95
Brig Millis,356,11,34.69,2
Latrina Bocock,357,6,6140.53,0.38
Freddie Salmon,358,19,9844.54,1.67
Moreen Heams,359,62,8785.72,1.47
Gawain Snelgrove,360,92,2534.47,3.89
Honoria Dils,361,50,5875.61,1.5
Stephani Dunne,362,75,6313.75,0.32
Dot Bondar,363,92,38.47,0.61
Colene Shiel,364,4,7365.68,3.84
Jacinta Foxon,365,87,6393.72,1.15
Clement Goodings,366,85,4837.39,3.71
Billie Peirone,367,26,6507.91,1.14
Louie Philson,368,69,9303.52,2.6
Jae Rosenfeld,369,84,1388.86,2.23
Tailor Kestle,370,23,6354.38,2.09
Wallie Vanyushin,371,48,5474.37,3.98
Bartholemy McNulty,372,18,6687.28,2.98
Herschel Bruhn,373,13,8577.99,0.08
Madonna Dobrowlski,374,48,1882.44,3.84
Mano Feldberger,375,45,5508.67,2.07
Ban MacGebenay,376,87,5942.43,3.39
Win Ternouth,377,29,8042.14,0.49
Deane Pascow,378,2,6130.14,0.88
Salvidor Allin,379,2,2565.95,0.44
Pierrette Trebbett,380,25,9337.39,0.44
Pearline Furzer,381,20,2087.54,0.72
Donna Peschmann,382,46,65.74,0.39
Diahann Bernardotti,383,26,9451.69,3.18
Marty Bleier,384,10,7275.24,1.65
Darius Madgwich,385,88,2125.59,1.13
Kippy Rolinson,386,35,5089.92,2.04
Lissa Waterworth,387,21,4919.08,1.85
Raddy De Michetti,388,20,3572.18,3.87
Toma Andren,389,80,5898.57,2.68
Micky Crilley,390,100,8792.33,1.63
Hailee Copcutt,391,70,6374.02,3.77
Carol Chapiro,392,84,8229.66,2.75
Daren Gookey,393,64,4015.89,3.08
Ceciley Nossent,394,3,625.32,1.81
Dorey Handrek,395,91,3746.11,2.2
Lolita Terrett,396,69,8923.22,0.17
Alikee Bosworth,397,77,5359.38,3.91
Fredrick Stovin,398,91,9473.06,0.98
Maiga Driffe,399,49,7293.01,0.04
Decca Jiggen,400,93,2463.31,3.41
Liane Wisher,401,25,2587.47,0.99
Khalil McKeeman,402,6,7169.99,3.96
Rriocard Moneypenny,403,34,572.55,1.12
Dewitt Davidek,404,64,8720.64,0.11
Ruy Castillou,405,6,7725.65,2.62
Gail Garretts,406,56,6757.08,3.94
Nicole McGann,407,43,7609.27,1.23
Charley Bowhey,408,9,5922.06,3.05
Shayna Yedy,409,38,1448.64,1.2
Dione Wollen,410,6,1655.56,2.58
Jan Blackeby,411,36,3907.91,2.69
Coleen Cheeseman,412,87,9070.4,3.22
Mabelle Hendrick,413,10,6691.65,3.46
Noble Kesley,414,46,7046.07,3.2
Guthry Frosch,415,81,8928.91,3.67
Bartlet Toleman,416,13,5774.68,1.35
Claire Djorvic,417,52,4917.32,3.08
Ericka McLewd,418,45,7931.91,1.58
Corbin Meaden,419,82,3379.04,1.06
Jacquette Cellone,420,39,8632.35,0.49
Allison Lewsy,421,99,3321.82,1.7
Britt Doggrell,422,44,6894.62,0.31
Consolata Ballach,423,17,1871.62,1.74
Barry Laurence,424,95,5565.81,2.78
Carleton Biagi,425,64,4183.16,2.96
Inger Simeoli,426,47,4152.13,3.61
Cullin Shakspeare,427,31,355.14,3.18
Marijn Scottini,428,68,6703.64,1.22
Amabel Shaw,429,3,8534.53,2.03
Sandy Maitland,430,50,8403.88,2.19
Carissa Beall,431,80,5945.85,2.72
Courtney Vanderson,432,22,2518.14,1.14
Bernardo Geck,433,12,4232.71,1.37
Alfie Uvedale,434,13,3930.08,3.27
Mylo Mapholm,435,51,8853.53,2.58
Hazel Spittal,436,94,6859.17,1.35
Maighdiln Jarred,437,99,5938.33,0.25
Celinda Maffia,438,73,4111.74,1.57
Midge Cater,439,11,410.1,1.56
Nicole Iceton,440,73,3214.94,0.31
Idelle Cannam,441,71,2838.59,2.9
Kelila Drowsfield,442,63,7716.35,3.77
Marnie Dohmann,443,52,205.06,2.76
Archie Bigby,444,36,3122.93,1.27
Dermot Sillito,445,69,8295.03,1.95
Aili Bottby,446,68,655.02,1.93
Dion Norman,447,86,7732.15,0.47
Flory Churcher,448,20,6572.05,3.2
Carter Furminger,449,74,3678.26,1.87
Deana Breckwell,450,43,2192.85,2.07
Samson Pollicott,451,64,3518.11,0.61
Ky Wavish,452,82,8137.28,0.03
Read Hofer,453,65,2442.9,2.69
Alikee Wikey,454,65,3787.04,0.29
Constantine Grinyer,455,30,7119.61,1.93
Sabra Klimp,456,4,7542.96,0.21
Gracie Allridge,457,44,4127.06,3.55
Mario Fromont,458,28,4260.53,3
Conrade Bairstow,459,66,2069.13,0.06
Even Juszczyk,460,55,5821,4
Dierdre Lindwall,461,39,1116.7,1.71
Ase Wyleman,462,82,7182.54,3.75
Paddy Emlyn,463,7,2517.34,0.94
Janaya Mitchley,464,88,5849.48,1.57
Anstice Brandrick,465,30,8443.2,2.99
Cullin Weetch,466,47,2488.7,3.86
Quincy Wolsey,467,35,7727.24,1.03
Joelly Vidler,468,76,4001.84,2.14
Juliann Curnnok,469,59,2327.43,0.1
Carmelita Dunstone,470,62,8077.5,0.05
Carina O'Rudden,471,17,2556.22,0.89
Gertrud Cromett,472,20,9200.52,2.6
Lauree Pearcy,473,59,7677.76,0.35
Adaline Hateley,474,50,4606.66,3.26
Cynthy Ohm,475,77,6178.92,0.91
Wendall Maton,476,37,6121.2,2.94
Coop Causbey,477,72,2625.88,0.34
Granny Asplen,478,75,8048.93,0.46
Colette Brisco,479,76,7131.58,2
Lorenzo Mattiato,480,72,2000.56,2.05
Kirsteni Skae,481,70,7845.62,1.24
Dyanna Madigan,482,14,4413.96,3.59
Gerick Keer,483,15,6040.43,0.74
Madison Lintot,484,29,1782.88,2.03
Tailor Litel,485,8,8456.64,0.36
Sibeal Dalgleish,486,55,500.1,3.57
Abdul Caltera,487,98,3905.28,3
Rustin Ebdon,488,39,578.88,3.93
Rosemarie Byres,489,75,5618.64,1.42
Glennie Miko,490,10,6620.6,2.92
Vevay Tidd,491,2,5504.09,2.4
Gibb Martt,492,16,1715.05,0.92
Bobbee Hazelgreave,493,44,7527.82,0.09
Zuzana Hebard,494,10,4942.28,0.54
Taylor Wornham,495,30,8866.71,1.83
Stacee Mahody,496,6,4779.08,1.17
Eulalie Powrie,497,100,5071.63,1.14
Duff Abramow,498,75,8764.9,1.79
Leeanne Adaway,499,75,4812.94,2.54
Jeremie Woodrough,500,30,5610.28,2.07
Annice Ussher,501,97,8147.48,1.09
Omar Scholar,502,19,9050.16,2.09
Danny Lenden,503,21,8621.65,1.44
Rana Kimble,504,99,5227.49,2.58
Libby Jansens,505,95,6148.61,2.03
Brendin Beese,506,74,9514.89,3.75
Rosella Burgwyn,507,6,3532.9,2.1
Lianna Duprey,508,20,3885.4,3.86
Brandon Iacobassi,509,20,3779.26,1.02
Jedidiah Thireau,510,82,3972.34,1.43
Todd Schistl,511,93,7552.8,3.47
Thomasine Blague,512,79,339.18,2.48
Emmy Nangle,513,90,8123.78,3.07
Arabella Watt,514,89,3274.5,0.42
Yancy Pettis,515,27,3484.37,1.19
Kenna Picardo,516,57,489.87,2.01
Ab Schapiro,517,93,1133.01,3.82
Nikita Ludlom,518,47,405.59,1.22
Kirbie Lowdwell,519,41,8532.55,3.52
Rooney Cordall,520,91,6236.37,2.55
Daisie Spellward,521,1,473.17,3.88
Chantalle Novis,522,9,2722.27,2.42
Felix Garaghan,523,48,5709.16,3.9
Sauveur Echalier,524,57,8764.65,1.95
Chico Sleany,525,69,2122.18,2.27
Blake D'Alessandro,526,53,9344.84,1.8
Saul Liggons,527,87,537.49,2.99
Caz MacKessock,528,12,9154.4,2.58
Gareth Garvie,529,36,5808.07,3.1
Angelico Mosby,530,19,7608.44,3.21
Alie McNea,531,55,1285.8,0.23
Dusty Bellenie,532,17,3126.99,2.22
Araldo Helliwell,533,18,9429.64,2
Kori Erswell,534,7,3066.76,3.05
Flin Akeherst,535,9,6348.25,3.29
Cherlyn Gillott,536,46,5133.76,2.06
Winna Dansken,537,63,269.61,2.59
Catina Hubbold,538,91,8598.73,0.38
Agathe Siely,539,32,7701.47,3.21
Jerrie Bordes,540,21,5649.12,0.21
Ardelia Gates,541,40,8998.86,2.65
Nobie Bussel,542,23,6757.32,1.32
Cassey Sterrie,543,36,1446.18,0.45
Wake Hickinbottom,544,28,4307,1.47
Karylin O'Flynn,545,35,6869.99,3.64
Mina Ridsdole,546,100,4108.35,3.78
Tabor Howat,547,95,3282.31,3.62
Rhiamon Streader,548,81,2685.22,0.78
Dimitry Fipp,549,9,6246.26,0.38
Jacintha Peirpoint,550,7,1499.78,0.32
Evin Casterou,551,69,7670.15,2.2
Tierney Bodiam,552,12,459.31,2.3
Joycelin Lionel,553,52,2676.51,2.49
Sayer Walenta,554,31,9673.11,1.73
Wilow Frohock,555,60,7905.69,2.65
Leonerd Linklet,556,19,8466.57,2.9
Chalmers Wheldon,557,37,4817.06,3.45
Thia Marrow,558,31,3546.24,0.47
Brooks Serotsky,559,41,3885.55,3.74
Gualterio Pywell,560,49,244.29,3.37
Karry Dutson,561,45,8626.99,3.16
Bessy Duxbury,562,14,1110.5,2.15
Nelle Pavyer,563,39,9953.48,3.09
Mannie Fulleylove,564,89,495.3,3.17
Karel Matthewes,565,47,7095.5,3.64
Neile Thaxton,566,90,2493.29,2.78
Oralia Sherrin,567,63,9585.5,3.96
Frank Drever,568,61,5696.14,3.93
Teddy Ilyushkin,569,5,3521.64,0.21
Mathilde Theuff,570,89,3904.59,3.17
Nathaniel Putland,571,3,3479.93,1.36
Clyve Leith-Harvey,572,14,9206.53,1.8
Rollo Hentzeler,573,39,7855.9,0.09
Engracia Mc Andrew,574,82,6364.76,0.83
Rayshell Voff,575,71,468.61,1.79
Peggi Everit,576,70,8896.09,1.68
Maggy Mellenby,577,11,7313.02,1.92
Ber Lafond,578,30,1380.07,1.14
Nicol Baison,579,19,7205.8,1.06
Waylin Bach,580,71,7490.71,1.54
Nathan Adamov,581,84,9122.48,2.45
Donny Ackwood,582,31,6133.05,3.95
Beniamino Larimer,583,75,5033.93,0.45
Kev Andresen,584,93,7319.28,1.29
Alex McFetrich,585,3,3573.74,3.88
Fenelia Caneo,586,63,7834.03,3.35
Rosita Fenning,587,22,9073.71,1.14
Viki McGuire,588,4,1609.6,1.05
Hendrik Marriage,589,40,369.36,0.5
Nonnah Shafier,590,92,5699.4,1.58
Rikki Capstaff,591,70,7890.31,0.69
Panchito Soden,592,42,8383.12,2.86
Jacquette Stapley,593,17,5631.56,3.88
Pembroke Tappin,594,82,8971.56,0.08
Dorey Formilli,595,57,819.45,2.24
Findlay Copozio,596,91,6248.12,0.64
Clemence Croker,597,66,2152.28,1.7
Regina Bourget,598,3,7873.99,1.08
Rowe Ondrich,599,76,1209.34,0.5
Reyna Josovich,600,28,543.96,3.15
Dalli Houson,601,75,1029.01,1.9
Bob Laxe,602,83,4318.33,0.33
Garwood Hubbock,603,99,6137.31,1.77
Nata Galway,604,43,1488.05,0.76
Rich Jordon,605,41,2442.89,3.68
Hurley Lewtey,606,95,5621.27,2.09
Kellen Yuryatin,607,11,4373.08,3.07
Wallie Lapish,608,19,7131.63,3.51
Gerti Janaszewski,609,49,8092.31,2.24
Shaina Belcham,610,71,1135.65,1.05
Simone Peyes,611,94,8021.46,1.41
Caressa Eger,612,50,6128.82,3.06
Aubrey Dimmer,613,66,2036.03,1.6
Jordan Patillo,614,78,6038,3.13
Quint Paoletti,615,82,323.71,1.79
Barrie Mallalieu,616,9,4765.96,1.66
Nolie Sargint,617,83,6089.15,1.95
Clarita Ubanks,618,92,4489.71,3.24
Alain Tidbury,619,92,9947.52,0.67
Regine Stather,620,47,4635.6,1.12
Shel Kinson,621,77,3785.31,2.36
Abramo Fiddian,622,45,7360.52,3.38
Steffie Cristoforo,623,73,4140.02,0.88
Dallon Drayson,624,83,4320.23,1.12
Shayla Aslum,625,85,4202.61,0
Lotte Bollum,626,93,3099.48,3.86
Salim Wimp,627,46,4867.82,1.21
Samara Assandri,628,6,5364.81,0.84
Elfrieda Cordero,629,99,3239.69,3.94
Quintina Wynes,630,44,9231.02,1.35
Lianna Cabble,631,34,1924.54,1.04
